ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Adon (45230),/management/ville/adon/ville-45001,6.3,7,7.2,7.2,6.5,6.8,9.3,9.3,9.5,10.3,11,10.9,10.8,10.6,9.5,9.2,8.8
Adriers (86430),/management/ville/adriers/ville-86001,6.3,6.7,7,7,6.3,5.9,7.2,7.4,7.3,7.6,7.8,7.8,8,7.9,7.1,6.9,6.5
Afa (20167),/management/ville/afa/ville-2A001,8.2,8.6,7.7,7.7,7.1,6.8,7.6,8.1,8.4,8.7,8.9,8.8,9,8.5,8.3,7.7,7.2
Affieux (19260),/management/ville/affieux/ville-19001,4.4,4.7,4.5,4.5,3.9,3.9,5,5.1,5.3,5.9,6.4,6.4,6.8,6.9,6.5,6.3,5.7
Affléville (54800),/management/ville/affleville/ville-54004,7.1,7.6,8,8,7.3,6.9,9.2,9.2,9,9.7,10.4,10.4,10.3,9.8,9.3,8.7,7.9
Affoux (69170),/management/ville/affoux/ville-69001,7.6,7.9,7.7,7.7,7,6.3,8.2,8.4,8.2,8.8,9.2,9.2,9.2,8.9,8.3,8,7.5
Affracourt (54740),/management/ville/affracourt/ville-54005,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Affringues (62380),/management/ville/affringues/ville-62010,10.3,10.2,11.9,11.9,10.6,10,11.3,11.3,11.5,12.2,12.6,12.4,12.5,11.7,11,10.4,9.8
Agassac (31230),/management/ville/agassac/ville-31001,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Agde (34300),/management/ville/agde/ville-34003,14.2,14.2,14.9,14.9,13.4,12.7,15.1,15.4,15.6,16.8,17.8,17.9,18.2,18,17,16.5,15.7
Agel (34210),/management/ville/agel/ville-34004,11.1,11.5,11.6,11.6,11,10.9,13.1,13.3,13.4,14.4,15,15.1,15,14.7,13.9,13.8,13.3
